name,price,link
Moteriškos tamprės,17.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-gatsby-moteriskos-kelnes-su-petnesomis
GATSBY moteriškos kelnės su petnešomis,25.0,https://e-vintage.humana.lt//collections/moterims/products/gatsby-moteriskos-kelnes-su-petnesomis
KLEIN moteriškas sijonas su vilna,23.0,https://e-vintage.humana.lt//collections/moterims/products/klein-moteriskas-sijonas-su-vilna
EXPLORER moteriški džinsai,25.0,https://e-vintage.humana.lt//collections/moterims/products/explorer-moteriski-dzinsai-1
GIANNI VERSACE moteriškas sijonas,55.0,https://e-vintage.humana.lt//collections/moterims/products/gianni-versace-moteriskas-sijonas-3
VINDSOR moteriškos vilnonės kelnės,25.0,https://e-vintage.humana.lt//collections/moterims/products/vindsor-moteriskos-vilnones-kelnes
POLO moteriškos kelnės,25.0,https://e-vintage.humana.lt//collections/moterims/products/polo-moteriskos-kelnes-1
TOGETHER! moteriškos kelnės,23.0,https://e-vintage.humana.lt//collections/moterims/products/together-moteriskos-kslnes
ADAM POUR EVE veliūrinė glaustinukė,23.0,https://e-vintage.humana.lt//collections/moterims/products/adam-pour-eve-veliurine-glaustinuke-su-kailiu
CHILLYTIME moteriškos kelnės,23.0,https://e-vintage.humana.lt//collections/moterims/products/chillytime-moteriskos-kelnes-1
Moteriškas odinis sijonas,39.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskas-odinis-sijonas-3
CAP moteriškos kelnės,23.0,https://e-vintage.humana.lt//collections/moterims/products/cap-moteriskos-kelnes
VOGLIA moteriškos kelnės su vilna,27.0,https://e-vintage.humana.lt//collections/moterims/products/voglia-moteriskos-kelnes-sijonas
LANDLUBBER kelnės su vilna,25.0,https://e-vintage.humana.lt//collections/moterims/products/landlubber-kelnes-su-vilna
CANDA moteriškas sijonas,23.0,https://e-vintage.humana.lt//collections/moterims/products/canda-moteriskas-sijonas
DANIELS moteriški vilnoniai šortai/sijonas,23.0,https://e-vintage.humana.lt//collections/moterims/products/daniels-moteriski-vilnoniai-sortai-sijonas
KAMELO moteriška natūralaus kailio rankinė,69.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-prestige-moteriska-rankine
Moteriški odiniai aulinukai,65.0,https://e-vintage.humana.lt//collections/moterims/products/moteriski-odiniai-aulinukai-1
TORAL moteriški auliniai batai,55.0,https://e-vintage.humana.lt//collections/moterims/products/toral-moteriski-auliniai-batai
FOREVER YOUNG moteriška suknelė,29.0,https://e-vintage.humana.lt//collections/moterims/products/forever-young-moteriska-suknele
LEYGIL moteriška suknelė,19.0,https://e-vintage.humana.lt//collections/moterims/products/leygil-moteriska-suknele
ASPENS moteriška suknelė,25.0,https://e-vintage.humana.lt//collections/moterims/products/aspens-moteriska-suknele
Moteriška striukė,29.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-striuke-19
MAGNA moteriška suknelė,19.0,https://e-vintage.humana.lt//collections/moterims/products/magna-moteriska-suknele-1
HUCKE moteriška vilnonė suknelė,25.0,https://e-vintage.humana.lt//collections/moterims/products/hucke-moteriska-vilnone-suknele
MALISSE moteriška veliūrinė suknelė,23.0,https://e-vintage.humana.lt//collections/moterims/products/malisse-moteriska-veliurine-suknele
JOSSELYNE moteriška megzta suknelė,17.0,https://e-vintage.humana.lt//collections/moterims/products/josselyne-moteriska-megzta-suknele
LLON moteriška palaidinė su šilku,42.0,https://e-vintage.humana.lt//collections/moterims/products/llon-moteriska-palaidine-su-silku
CHERI moteriška trikotažinė palaidinė,15.0,https://e-vintage.humana.lt//collections/moterims/products/cheri-moteriska-trikotazine-palaidine
Moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-173
TRU BLOUSE moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/tru-blouse-moteriska-palaidine-5
Moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-172
UTA RAASCH moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/uta-raasch-moteriska-palaidine
Moteriška  palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-171
VERSE moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/verse-moteriska-palaidine-1
MARIO ROSELLA moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/mario-rosella-moteriska-palaidine-12
BENETTON moteriškas vilnonis megztinis,29.0,https://e-vintage.humana.lt//collections/moterims/products/benetton-moteriskas-vilnonis-megztinis-1
JB BOUTIQUE moteriška suknelė,27.0,https://e-vintage.humana.lt//collections/moterims/products/jb-boutique-moteriska-suknele
BRENDA ZARO moteriški odiniai bateliai,23.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-peter-kaiser-moteriski-odiniai-bateliai
NONSENSE moteriški odiniai aulinukai,42.0,https://e-vintage.humana.lt//collections/moterims/products/nonsense-moteriski-odiniai-aulinukai
